W	X	Y
600	700	4
275	800	4
275	1000	4
305	1250	4
335	1500	4
360	1750	4
385	2000	4
415	2250	4
450	2500	4
500	2750	4
1200	3000	4
1200	3250	4
1200	3500	4
1200	3750	4
600	700	5
275	800	5
275	1000	5
300	1250	5
320	1500	5
340	1750	5
370	2000	5
405	2250	5
445	2500	5
500	2750	5
1200	3000	5
1200	3250	5
1200	3500	5
1200	3750	5
600	700	7.5
275	800	7.5
275	1000	7.5
285	1250	7.5
295	1500	7.5
312	1750	7.5
335	2000	7.5
385	2250	7.5
435	2500	7.5
500	2750	7.5
1200	3000	7.5
1200	3250	7.5
1200	3500	7.5
1200	3750	7.5
610	700	10
275	800	10
275	1000	10
285	1250	10
290	1500	10
295	1750	10
325	2000	10
375	2250	10
435	2500	10
500	2750	10
1200	3000	10
1200	3250	10
1200	3500	10
1200	3750	10
630	700	12.5
280	800	12.5
280	1000	12.5
290	1250	12.5
295	1500	12.5
305	1750	12.5
335	2000	12.5
380	2250	12.5
435	2500	12.5
500	2750	12.5
1200	3000	12.5
1200	3250	12.5
1200	3500	12.5
1200	3750	12.5
685	700	15
285	800	15
285	1000	15
320	1250	15
320	1500	15
325	1750	15
350	2000	15
390	2250	15
435	2500	15
500	2750	15
1200	3000	15
1200	3250	15
1200	3500	15
1200	3750	15
760	700	17.5
320	800	17.5
320	1000	17.5
355	1250	17.5
355	1500	17.5
360	1750	17.5
370	2000	17.5
400	2250	17.5
440	2500	17.5
500	2750	17.5
1200	3000	17.5
1200	3250	17.5
1200	3500	17.5
1200	3750	17.5
835	700	20
400	800	20
385	1000	20
390	1250	20
390	1500	20
390	1750	20
390	2000	20
410	2250	20
445	2500	20
500	2750	20
1200	3000	20
1200	3250	20
1200	3500	20
1200	3750	20
905	700	22.5
460	800	22.5
450	1000	22.5
440	1250	22.5
430	1500	22.5
420	1750	22.5
410	2000	22.5
422	2250	22.5
460	2500	22.5
510	2750	22.5
1200	3000	22.5
1200	3250	22.5
1200	3500	22.5
1200	3750	22.5
1000	700	25
520	800	25
505	1000	25
485	1250	25
470	1500	25
450	1750	25
430	2000	25
435	2250	25
485	2500	25
535	2750	25
1200	3000	25
1200	3250	25
1200	3500	25
1200	3750	25
1050	700	27.5
700	800	27.5
620	1000	27.5
550	1250	27.5
510	1500	27.5
480	1750	27.5
455	2000	27.5
450	2250	27.5
515	2500	27.5
585	2750	27.5
1200	3000	27.5
1200	3250	27.5
1200	3500	27.5
1200	3750	27.5
1100	700	30
885	800	30
780	1000	30
630	1250	30
540	1500	30
520	1750	30
485	2000	30
480	2250	30
550	2500	30
635	2750	30
1200	3000	30
1200	3250	30
1200	3500	30
1200	3750	30
1200	700	35
1150	800	35
1075	1000	35
920	1250	35
590	1500	35
570	1750	35
550	2000	35
550	2250	35
630	2500	35
745	2750	35
1200	3000	35
1200	3250	35
1200	3500	35
1200	3750	35
1200	700	40
1200	800	40
1200	1000	40
1055	1250	40
820	1500	40
675	1750	40
585	2000	40
580	2250	40
665	2500	40
825	2750	40
1200	3000	40
1200	3250	40
1200	3500	40
1200	3750	40
1200	700	45
1200	800	45
1200	1000	45
1150	1250	45
960	1500	45
805	1750	45
700	2000	45
650	2250	45
720	2500	45
900	2750	45
1200	3000	45
1200	3250	45
1200	3500	45
1200	3750	45
1200	700	50
1200	800	50
1200	1000	50
1200	1250	50
1200	1500	50
1200	1750	50
1200	2000	50
1200	2250	50
1200	2500	50
1200	2750	50
1200	3000	50
1200	3250	50
1200	3500	50
1200	3750	50
