BE,N,PE_MI
1971.599976,800,0.129444
300,804,1.801031
239.199997,803,3.613584
225,802,5.418004
225,804,7.213847
235,822,9.038929
2041.599976,1201,0.132155
252.199997,1203,2.926718
215.300003,1203,5.88495
205.5,1204,8.814717
203.651169,1204,11.720765
202.830078,1205,14.653247
2799.300537,1999,0.13351
278.918335,2001,3.020243
235,2001,5.993723
225.300003,2002,8.989567
220.300003,2003.700195,11.957625
215.399994,2000,14.951441
3273.687012,2354.279785,0.137915
327.668304,2348.656982,2.603447
259.365417,2349.524902,5.215028
241.134415,2349.438477,7.82525
236.006775,2349.700195,10.453097
238.275879,2400,13.1
2319.004639,1599.97998,0.134188
252.107651,1599.800049,3.314034
225.399994,1599.066895,6.597229
223,1598,9.873651
230,1598,13.160575
198.917831,1599.135132,16.455965
