BMEP	MD	MF_FUEL	P_OIL
1196.969971	1114.449951	21.4109993	575.5629883
1195.73999	1113.300049	52.52700043	572.0759888
1443.73999	1344.199951	58.99200058	563.8410034
1754.780029	1633.800049	66.23899841	550.6610107
1863.949951	1735.439941	62.19200134	539.0540161
2015.170044	1876.22998	60.49599838	524.8770142
2111.649902	1966.060059	56.68500137	505.3080139
2175.790039	2025.790039	52.31999969	481.6149902
2165.969971	2016.640015	46.46500015	450.6180115
1869.219971	1740.349976	36.35100174	400.5889893
1394.390015	1298.26001	24.82099915	341.6329956
1126.75	1049.069946	15.56299973	273.052002
